filename_base,method,chunk_id,chunk_path,char_len,word_len,paragraph_idx
10_Semana_AI_20251007_1_GianmarcoOportaPerez_RedesNeuronalesConvolucionales,paragraphs,10_Semana_AI_20251007_1_GianmarcoOportaPerez_RedesNeuronalesConvolucionales-p-0001,chunks_paragraphs/10_Semana_AI_20251007_1_GianmarcoOportaPerez_RedesNeuronalesConvolucionales/chunk_0001.txt,1911,271,1
10_Semana_AI_20251007_1_GianmarcoOportaPerez_RedesNeuronalesConvolucionales,paragraphs,10_Semana_AI_20251007_1_GianmarcoOportaPerez_RedesNeuronalesConvolucionales-p-0002,chunks_paragraphs/10_Semana_AI_20251007_1_GianmarcoOportaPerez_RedesNeuronalesConvolucionales/chunk_0002.txt,1971,277,2
10_Semana_AI_20251007_1_GianmarcoOportaPerez_RedesNeuronalesConvolucionales,paragraphs,10_Semana_AI_20251007_1_GianmarcoOportaPerez_RedesNeuronalesConvolucionales-p-0003,chunks_paragraphs/10_Semana_AI_20251007_1_GianmarcoOportaPerez_RedesNeuronalesConvolucionales/chunk_0003.txt,320,46,3
10_Semana_AI_20251007_1_GianmarcoOportaPerez_RedesNeuronalesConvolucionales,paragraphs,10_Semana_AI_20251007_1_GianmarcoOportaPerez_RedesNeuronalesConvolucionales-p-0004,chunks_paragraphs/10_Semana_AI_20251007_1_GianmarcoOportaPerez_RedesNeuronalesConvolucionales/chunk_0004.txt,1913,275,4
10_Semana_AI_20251007_1_GianmarcoOportaPerez_RedesNeuronalesConvolucionales,paragraphs,10_Semana_AI_20251007_1_GianmarcoOportaPerez_RedesNeuronalesConvolucionales-p-0005,chunks_paragraphs/10_Semana_AI_20251007_1_GianmarcoOportaPerez_RedesNeuronalesConvolucionales/chunk_0005.txt,1336,184,5
10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet,paragraphs,10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet-p-0001,chunks_paragraphs/10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet/chunk_0001.txt,1974,277,1
10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet,paragraphs,10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet-p-0002,chunks_paragraphs/10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet/chunk_0002.txt,1902,274,2
10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet,paragraphs,10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet-p-0003,chunks_paragraphs/10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet/chunk_0003.txt,179,34,3
10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet,paragraphs,10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet-p-0004,chunks_paragraphs/10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet/chunk_0004.txt,1992,310,4
10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet,paragraphs,10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet-p-0005,chunks_paragraphs/10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet/chunk_0005.txt,1976,340,5
10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet,paragraphs,10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet-p-0006,chunks_paragraphs/10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet/chunk_0006.txt,336,61,6
10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet,paragraphs,10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet-p-0007,chunks_paragraphs/10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet/chunk_0007.txt,1997,362,7
10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet,paragraphs,10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet-p-0008,chunks_paragraphs/10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet/chunk_0008.txt,1882,323,8
10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet,paragraphs,10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet-p-0009,chunks_paragraphs/10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet/chunk_0009.txt,159,28,9
10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet,paragraphs,10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet-p-0010,chunks_paragraphs/10_Semana_AI_20251007_1_RodolfoDavidAcunaLopez_BackpropagationYConvNet/chunk_0010.txt,614,101,10
10_Semana_AI_20251009_1_LuisFelipeCalderonPerez_CNNAlexNet,paragraphs,10_Semana_AI_20251009_1_LuisFelipeCalderonPerez_CNNAlexNet-p-0001,chunks_paragraphs/10_Semana_AI_20251009_1_LuisFelipeCalderonPerez_CNNAlexNet/chunk_0001.txt,1994,303,1
10_Semana_AI_20251009_1_LuisFelipeCalderonPerez_CNNAlexNet,paragraphs,10_Semana_AI_20251009_1_LuisFelipeCalderonPerez_CNNAlexNet-p-0002,chunks_paragraphs/10_Semana_AI_20251009_1_LuisFelipeCalderonPerez_CNNAlexNet/chunk_0002.txt,397,63,2
10_Semana_AI_20251009_1_LuisFelipeCalderonPerez_CNNAlexNet,paragraphs,10_Semana_AI_20251009_1_LuisFelipeCalderonPerez_CNNAlexNet-p-0003,chunks_paragraphs/10_Semana_AI_20251009_1_LuisFelipeCalderonPerez_CNNAlexNet/chunk_0003.txt,1889,298,3
